Country_Code,Country_Name,Continent,Population,people_fully_vaccinated,median_age,total_cases,total_deaths,life_expectancy,human_development_index,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,total_boosters,reproduction_rate
MAR,Morocco,Africa,37457976,2789021.65,29.6,746636.4872,10496.0575,76.68,0.686,6.769,4.209,7485.013,419.146,7.14,260789.2176,0.813970474
ABW,Aruba,North America,106459,32884.25233,41.2,21306.4472,142.3276398,76.29,0,13.085,7.452,35973.781,0,11.62,0,0
AFG,Afghanistan,Asia,41128772,723061.4592,18.6,122011.0715,4977.338772,64.83,0.511,2.581,1.337,1803.987,597.029,9.59,31379.60451,0.822851593
AGO,Angola,Africa,35588996,325527.2137,16.8,56850.80497,1143.634033,61.15,0.581,2.405,1.362,5819.495,276.045,3.94,38781.38695,0.56049728
AIA,Anguilla,North America,15877,399.1297591,0,1605.768454,4.777777778,81.88,0,0,0,0,0,0,55.26340326,0
ALB,Albania,Europe,2842318,127356.554,38,175928.4351,2275.651127,78.57,0.795,13.188,8.643,11803.431,304.195,10.08,13586.07537,0.811188811
AND,Andorra,Europe,79843,1542.322455,0,23705.44134,113.7863248,83.73,0.868,0,0,0,109.135,7.97,721.4996115,0.688927739
ARE,United Arab Emirates,Asia,9441138,1227965.67,34,610240.9005,1567.982129,77.97,0.89,1.144,0.526,67293.483,317.84,17.26,377871.4864,0.808764569
ARG,Argentina,South America,45510324,17746747.07,31.9,5372962.254,86117.59038,76.67,0.845,11.198,7.441,18933.907,191.032,5.5,12589596.19,0.765950349
ARM,Armenia,Asia,2780472,17828.73737,35.7,265382.9883,5281.808858,75.09,0.776,11.232,7.571,8787.58,341.01,7.11,352.8508159,0.697125097
ASM,American Samoa,Oceania,44295,0,0,2850.258741,11.72804973,73.74,0,0,0,0,283.75,0,0,0
ATG,Antigua and Barbuda,North America,93772,2471.215229,32.1,4225.039627,76.44988345,77.02,0.778,6.933,4.631,21490.943,191.511,13.17,7.644133644,0.412975913
AUS,Australia,Oceania,26177410,4333479.093,37.9,3713456.81,6611.553225,83.44,0.944,15.504,10.129,44648.71,107.791,5.07,2766549.053,0.875034965
AUT,Austria,Europe,8939617,531882.317,44.4,2299695.399,12803.43201,81.54,0.922,19.202,13.748,45436.686,145.183,6.35,336781.7203,0.84981352
AZE,Azerbaijan,Asia,10358078,1064109.816,32.4,463407.8664,5844.944056,73,0.756,6.018,3.871,15847.419,559.812,7.11,375974.5237,0.767443667
BDI,Burundi,Africa,12889583,750.1841492,17.5,23331.39705,9.102564103,61.58,0.433,2.562,1.504,702.225,293.068,6.05,3.888111888,0.621934732
BEL,Belgium,Europe,11655923,5075864.351,41.8,2238020.189,23367.94483,81.63,0.931,18.571,12.849,42658.576,114.898,4.29,4011906.956,0.900606061
BEN,Benin,Africa,13352864,34666.98757,18.8,15860.14141,108.3061383,61.77,0.545,3.244,1.942,2064.236,235.848,0.99,0,0.364087024
BES,Bonaire Sint Eustatius and Saba,North America,27052,14.2975913,0,4996.903652,20.27428127,77.79,0,0,0,0,0,0,0,0
BFA,Burkina Faso,Africa,22673764,30762.50816,17.6,13471.05905,230.1833722,61.58,0.452,2.409,1.358,1703.102,269.048,2.42,0,0.474017094
BGD,Bangladesh,Asia,171186368,21466829.61,27.5,1215455.486,18476.18803,72.59,0.632,5.098,3.262,3523.984,298.003,8.38,7183108.537,0.78974359
BGR,Bulgaria,Europe,6781955,933205.4829,44.7,650697.6615,21354.30047,75.05,0.816,20.801,13.272,18563.307,424.688,5.81,90120.68401,0.819635093
BHR,Bahrain,Asia,1472237,426018.9588,32.4,344428.3559,976.4949495,77.29,0.852,2.372,1.387,43290.705,151.689,16.52,180446.1601,0.815881896
BHS,Bahamas,North America,409989,4916.559441,34.3,20375.99145,467.2478632,73.92,0.814,8.996,5.2,27717.847,235.954,13.17,584.0893551,0.716542347
BIH,Bosnia and Herzegovina,Europe,3233530,4803.981352,42.5,231299.0878,9616.20202,77.4,0.78,16.569,10.711,11713.895,329.635,10.08,111.1903652,0.834296814
BLM,Saint Barthelemy,North America,10994,0,0,2453.20202,2.487956488,0,0,0,0,0,0,0,0,0
BLR,Belarus,Europe,9534956,117792.6301,40.3,557081.4514,4069.441336,74.79,0.823,14.799,9.788,17167.967,443.129,5.18,54370.61616,0.621196581
BLZ,Belize,North America,405285,13083.08159,25,33324.27584,407.8275058,74.62,0.716,3.853,2.279,7824.362,176.957,17.11,1916.216783,0.651188811
BMU,Bermuda,North America,64207,1533.664336,0,7994.612277,77.42035742,82.59,0,0,0,50669.315,139.547,13,423.5874126,0
BOL,Bolivia,South America,12224114,1719334.349,25.4,585454.8143,14881.80264,71.51,0.718,6.704,4.393,6885.829,204.299,6.89,343975.7125,0.845159285
BRA,Brazil,South America,215313504,58708948.46,33.5,20036037.2,446247.4981,75.88,0.765,8.552,5.06,14103.452,177.961,8.11,26359233.95,0.868547009
BRB,Barbados,North America,281646,46165.35198,39.8,41114.07382,238.2820513,79.19,0.814,14.952,9.473,16978.068,170.05,13.57,630.5135975,0.627334887
BRN,Brunei,Asia,449002,27429.99534,32.4,91641.30847,60.15229215,75.86,0.838,4.591,2.382,71809.251,201.285,12.79,6256.525253,0.494141414
BTN,Bhutan,Asia,782457,26807.47708,28.6,23445.23543,8.421134421,71.78,0.654,4.885,2.977,8708.597,217.066,9.75,11225.7296,0.551670552
BWA,Botswana,Africa,2630300,35377.91531,25.8,166722.1865,1574.525253,69.59,0.735,3.941,2.242,15807.374,237.372,4.81,9193.569542,0.566060606
CAF,Central African Republic,Africa,5579148,43990.01865,18.3,10074.48019,83.17016317,53.28,0.397,3.655,2.251,661.24,435.727,6.1,3265.671329,0.279083139
CAN,Canada,North America,38454328,13032235.09,41.4,2195069.361,28217.81352,82.43,0.929,16.984,10.797,44017.591,105.599,7.37,6823363.071,0.841926962
CHE,Switzerland,Europe,8740471,0,43.1,1912398.103,9286.187257,83.78,0.955,18.436,12.644,57410.166,99.739,5.59,1736031.405,0.890559441
CHL,Chile,South America,19603736,8061002.068,35.4,2335850.06,35630.90132,80.18,0.851,11.087,6.938,22767.037,127.993,8.46,7555386.557,0.831080031
CHN,China,Asia,1425887360,56816435.12,38.7,16662550.6,25726.30614,76.91,0.761,10.641,5.929,15308.712,261.899,9.74,21647651.9,0.875975136
CIV,Cote d'Ivoire,Africa,28160548,136279.8967,18.7,53612.16783,483.4545455,57.78,0.538,2.933,1.582,3601.006,303.74,2.42,14899.51981,0.80996115
CMR,Cameroon,Africa,27914542,39724.02875,18.8,77440.78089,1255.34965,59.29,0.563,3.165,1.919,3364.926,244.661,7.2,6135.246309,0.382331002
COD,Democratic Republic of Congo,Africa,99010216,86869.42735,17,53700.1453,949.4786325,60.68,0.48,3.02,1.745,808.133,318.949,6.1,0,0.678352758
COG,Congo,Africa,5970430,3968.977467,19,15026.67599,233.6977467,64.57,0.574,3.402,2.063,4881.406,344.094,7.2,0,0.349440559
COK,Cook Islands,Oceania,17032,228.9339549,0,2322.913753,0.487956488,76.25,0,0,0,0,0,0,47.27195027,0
COL,Colombia,South America,51874028,4508713.604,32.2,3883775.387,91883.08392,77.29,0.767,7.646,4.312,13254.949,124.24,7.44,653600.5571,0.764980575
COM,Comoros,Africa,836783,4134.569542,20.4,4854.859363,109.2191142,64.32,0.554,2.963,1.726,1413.89,261.516,11.88,0,0.501041181
CPV,Cape Verde,Africa,593162,8203.006993,25.7,35308.16861,259.0536131,72.98,0.665,4.46,3.437,6222.554,182.219,2.42,2.42035742,0.748352758
CRI,Costa Rica,North America,5180836,174536.3901,33.6,569305.0101,5271.784771,80.28,0.81,9.468,5.694,15524.995,137.973,8.78,65472.5035,0.728694639
CUB,Cuba,North America,11212198,4409693.846,43.1,593840.8469,4661.982906,78.8,0.783,14.738,9.719,0,190.968,8.27,2814441.301,0.79955711
CUW,Curacao,North America,191173,29790.57731,41.7,22458.80031,154.2253302,78.88,0,16.367,10.068,0,0,11.62,7896.435897,0
CYM,Cayman Islands,North America,68722,4061.090909,0,12351.27195,14.30613831,83.92,0,0,0,49903.029,0,13.22,457.4662005,0
CYP,Cyprus,Europe,896007,57005.75291,37.3,260750.0389,618.7505828,80.98,0.887,13.416,8.563,32415.132,141.171,9.24,15333.04429,0.795664336
CZE,Czechia,Europe,10493990,3778119.375,43.3,2353886.268,26213.44099,79.38,0.9,19.027,11.58,32605.906,227.485,6.82,1959085.19,0.828913043
DEU,Germany,Europe,83369840,31010425.17,46.6,14321163.53,95046.60917,81.33,0.947,21.453,15.957,45229.245,156.139,8.31,21501658.65,0.884343434
DJI,Djibouti,Africa,1120851,8459.215229,25.4,10704.99922,130.0613831,67.11,0.524,4.213,2.38,2705.406,258.037,6.05,0,0.552812743
DMA,Dominica,North America,72758,1602.80575,0,6670.366744,32.32556333,75,0.742,0,0,9673.367,227.376,11.62,54.63480963,0.239393939
DNK,Denmark,Europe,5882259,375581.0839,42.3,1449679.54,3864.32634,80.9,0.94,19.677,12.325,46682.515,114.767,6.41,223625.6076,0.841763792
DOM,Dominican Republic,North America,11228821,2340217.172,27.6,374624.8625,3223.135198,74.08,0.756,6.981,4.419,14600.861,266.653,8.2,741647.7887,0.773395493
DZA,Algeria,Africa,44903228,91794.82517,29.1,168170.4033,4470.254856,76.88,0.748,6.211,3.857,13913.839,278.364,6.73,3034.959596,0.792937063
ECU,Ecuador,South America,18001002,3842020.291,28.1,556619.9852,24017.86636,77.01,0.759,7.104,4.458,10581.936,140.448,5.55,1183931.922,0.791227661
EGY,Egypt,Africa,110990096,1793750.364,25.3,309577.8368,15795.74514,71.99,0.707,5.159,2.891,10550.206,525.432,17.31,290479.129,0.602432012
ERI,Eritrea,Africa,3684041,0,19.3,5826.863248,52.00621601,66.32,0.459,3.607,2.171,1510.459,311.11,6.05,0,0.553170163
ESH,Western Sahara,Africa,576005,0,28.4,0,0,70.26,0,0,1.38,0,0,0,0,0
ESP,Spain,Europe,47558632,6662721.333,45.5,6879479.486,79356.11577,83.56,0.904,19.436,13.799,34272.36,99.403,7.17,1909256.317,0.924327894
EST,Estonia,Europe,1326064,478862.1321,42.7,279023.9899,1469.205905,78.74,0.892,19.452,13.491,29481.252,255.569,4.02,238093.1344,0.842983683
ETH,Ethiopia,Africa,123379928,313421.7179,19.8,297866.6309,4644.278943,66.6,0.485,3.526,2.063,1729.927,182.634,7.47,16227.223,0.792812743
FIN,Finland,Europe,5540745,369944.4903,42.8,559088.0031,3218.752914,81.91,0.938,21.228,13.264,40585.721,153.507,5.76,299939.9044,0.813449883
FJI,Fiji,Oceania,929769,39434.59285,28.6,35290.59363,448.3255633,67.44,0.743,6.224,3.284,8702.975,412.82,14.49,6708.204351,0.458679099
FLK,Falkland Islands,South America,3801,2.713286713,0,652.9324009,0,81.44,0,0,0,0,0,0,0,0
FRA,France,Europe,67813000,29509765.36,42,15623032.37,102683.0458,82.66,0.901,19.718,13.079,38605.671,86.06,4.77,18866492.64,0.878321678
FRO,Faeroe Islands,Europe,53117,2899.428904,0,14769.61849,12.54467754,80.67,0,0,0,0,0,0,370.4467754,0
FSM,Micronesia (country),Oceania,114178,0,23,5737.878788,14.53069153,67.88,0.62,4.81,2.392,3299.464,454.343,12.02,0,0.058857809
GAB,Gabon,Africa,2388997,5244.811966,23.1,29269.71406,186.7591298,66.47,0.703,4.45,2.976,16562.413,259.967,7.2,26.61149961,0.621600622
GBR,United Kingdom,Europe,67508936,17409691.65,40.8,11790799.62,146174.1507,81.32,0.932,18.517,12.527,39753.244,122.137,4.28,8505504.566,0.85048951
GEO,Georgia,Asia,3744385,160633.7125,38.7,878582.7995,9129.06216,73.77,0.812,14.864,10.244,9745.079,496.218,7.11,62.7956488,0.635027195
GGY,Guernsey,Europe,63329,242.6658897,0,12930.58819,31.48873349,0,0,0,0,0,0,0,243.2051282,0
GHA,Ghana,Africa,33475870,194565.0591,21.1,108498.9728,900.2735043,64.07,0.611,3.385,1.948,4227.63,298.245,4.97,33957.04973,0.747770008
GIB,Gibraltar,Europe,32677,6184.474747,0,9684.853147,72.01243201,79.93,0,0,0,0,0,0,1774.477078,0
GIN,Guinea,Africa,13859349,114424.8353,19,24801.5913,270.966589,61.6,0.477,3.135,1.733,1998.926,336.717,2.42,2421.592075,0.572991453
GLP,Guadeloupe,North America,395762,0,43.4,84927.2028,550.2587413,82.14,0,0,0,0,0,0,0,0
GMB,Gambia,Africa,2705995,6540.96115,17.5,7791.635587,234.1165501,62.05,0.496,2.339,1.417,1561.767,331.43,1.91,178.8912199,0.386643357
GNB,Guinea-Bissau,Africa,2105580,7158.801088,19.4,5430.345765,105.996892,58.32,0.48,3.002,1.565,1548.675,382.474,2.42,81.99456099,0.439036519
GNQ,Equatorial Guinea,Africa,1674916,8136.814297,22.4,10608.56177,126.4560995,58.74,0.592,2.846,1.752,22604.873,202.812,7.78,15.37296037,0.4998446
GRC,Greece,Europe,10384972,4205460.488,45.3,1963078.358,17508.39596,82.24,0.888,20.396,14.524,24574.382,175.695,4.55,2795135.67,0.825621118
GRD,Grenada,North America,125459,2111.986791,29.4,8220.96115,115.0862471,72.4,0.779,7.304,5.021,13593.877,243.964,10.71,235.2820513,0.321686092
GRL,Greenland,North America,56494,2071.33411,0,5166.764569,8.411033411,71.7,0,0,0,0,199.941,2.16,0,0
GTM,Guatemala,North America,17843914,909094.9596,22.9,569570.7094,11566.62937,74.3,0.663,4.694,3.016,7423.808,155.898,10.18,239900.4569,0.823449883
GUF,French Guiana,South America,304568,0,25.3,48675.50583,233.5975136,79.95,0,0,2.897,0,0,0,0,0
GUM,Guam,Oceania,171783,0,31.4,22851.5439,220.7350427,80.07,0,9.551,5.493,0,310.496,21.52,0,0
GUY,Guyana,South America,808727,21474.53613,26.3,36068.0676,705.3916084,69.91,0.682,5.305,2.837,7435.047,373.159,11.62,1933.026418,0.764662005
HKG,Hong Kong,Asia,7488863,3316262.414,44.8,0,0,84.86,0.949,16.303,10.158,56054.92,0,8.33,2151176.704,0
HND,Honduras,North America,10432858,208457.2556,24.9,280609.2533,7076.839938,75.27,0.634,4.652,2.883,4541.795,240.208,7.21,78123.40326,0.723597514
HRV,Croatia,Europe,4030361,783986.885,44,625876.397,9570.911422,78.49,0.851,19.724,13.053,22669.797,253.782,5.59,462.1484071,0.829222999
HTI,Haiti,North America,11585003,5251.019425,24.3,20558.16861,527.957265,64,0.51,4.8,2.954,1653.173,430.548,6.65,0,0.695811966
HUN,Hungary,Europe,9967304,1247642.065,43.4,1101899.211,28196.10567,76.88,0.854,18.577,11.976,26777.561,278.296,7.55,451328.0995,0.853278943
IDN,Indonesia,Asia,275501344,29159356.67,29.3,3527780.792,93643.68531,71.72,0.718,5.319,3.053,11188.744,342.864,6.32,2956765.65,0.825120435
IMN,Isle of Man,Europe,84534,8576.693085,0,16312.5641,65.76068376,81.4,0,0,0,0,0,0,2515.765346,0
IND,India,Asia,1417173120,420934953.8,28.2,26939794.16,334500.0823,69.66,0.645,5.989,3.414,6426.674,282.28,10.39,60551390.57,0.823237578
IRL,Ireland,Europe,5023108,2187433.799,38.7,788389.136,5219.892774,82.3,0.955,13.928,8.678,67335.293,126.459,3.28,1288093.976,0.839425019
IRN,Iran,Asia,88550568,6539998.02,32.4,4316472.88,92254.20202,76.68,0.783,5.44,3.182,19082.62,270.308,9.59,2076985.179,0.826550117
IRQ,Iraq,Asia,44496124,331837.2813,20,1487836.819,17319.02331,70.6,0.674,3.186,1.957,15663.986,218.612,8.83,5325.807304,0.775695416
