Country_Code,Country_Name,Continent,Population,people_fully_vaccinated,median_age,total_cases,total_deaths,life_expectancy,human_development_index,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,total_boosters,reproduction_rate
CPV,Cape Verde,Africa,593162,8203.006993,25.7,35308.16861,259.0536131,72.98,0.665,4.46,3.437,6222.554,182.219,2.42,2.42035742,0.748352758
CRI,Costa Rica,North America,5180836,174536.3901,33.6,569305.0101,5271.784771,80.28,0.81,9.468,5.694,15524.995,137.973,8.78,65472.5035,0.728694639
CUB,Cuba,North America,11212198,4409693.846,43.1,593840.8469,4661.982906,78.8,0.783,14.738,9.719,15898.41201,190.968,8.27,2814441.301,0.79955711
CYP,Cyprus,Europe,896007,57005.75291,37.3,260750.0389,618.7505828,80.98,0.887,13.416,8.563,32415.132,141.171,9.24,15333.04429,0.795664336
CZE,Czechia,Europe,10493990,3778119.375,43.3,2353886.268,26213.44099,79.38,0.9,19.027,11.58,32605.906,227.485,6.82,1959085.19,0.828913043
DEU,Germany,Europe,83369840,31010425.17,46.6,14321163.53,95046.60917,81.33,0.947,21.453,15.957,45229.245,156.139,8.31,21501658.65,0.884343434
DJI,Djibouti,Africa,1120851,8459.215229,25.4,10704.99922,130.0613831,67.11,0.524,4.213,2.38,2705.406,258.037,6.05,4741.75477,0.552812743
DNK,Denmark,Europe,5882259,375581.0839,42.3,1449679.54,3864.32634,80.9,0.94,19.677,12.325,46682.515,114.767,6.41,223625.6076,0.841763792
DOM,Dominican Republic,North America,11228821,2340217.172,27.6,374624.8625,3223.135198,74.08,0.756,6.981,4.419,14600.861,266.653,8.2,741647.7887,0.773395493
DZA,Algeria,Africa,44903228,91794.82517,29.1,168170.4033,4470.254856,76.88,0.748,6.211,3.857,13913.839,278.364,6.73,3034.959596,0.792937063
ECU,Ecuador,South America,18001002,3842020.291,28.1,556619.9852,24017.86636,77.01,0.759,7.104,4.458,10581.936,140.448,5.55,1183931.922,0.791227661
EGY,Egypt,Africa,110990096,1793750.364,25.3,309577.8368,15795.74514,71.99,0.707,5.159,2.891,10550.206,525.432,17.31,290479.129,0.602432012
ERI,Eritrea,Africa,3684041,7199755.97,19.3,5826.863248,52.00621601,66.32,0.459,3.607,2.171,1510.459,311.11,6.05,2731.463636,0.553170163
ESP,Spain,Europe,47558632,6662721.333,45.5,6879479.486,79356.11577,83.56,0.904,19.436,13.799,34272.36,99.403,7.17,1909256.317,0.924327894
ETH,Ethiopia,Africa,123379928,313421.7179,19.8,297866.6309,4644.278943,66.6,0.485,3.526,2.063,1729.927,182.634,7.47,16227.223,0.792812743
FIN,Finland,Europe,5540745,369944.4903,42.8,559088.0031,3218.752914,81.91,0.938,21.228,13.264,40585.721,153.507,5.76,299939.9044,0.813449883
FRA,France,Europe,67813000,29509765.36,42,15623032.37,102683.0458,82.66,0.901,19.718,13.079,38605.671,86.06,4.77,18866492.64,0.878321678
GAB,Gabon,Africa,2388997,5244.811966,23.1,29269.71406,186.7591298,66.47,0.703,4.45,2.976,16562.413,259.967,7.2,26.61149961,0.621600622
GBR,United Kingdom,Europe,67508936,17409691.65,40.8,11790799.62,146174.1507,81.32,0.932,18.517,12.527,39753.244,122.137,4.28,8505504.566,0.85048951
GEO,Georgia,Asia,3744385,160633.7125,38.7,878582.7995,9129.06216,73.77,0.812,14.864,10.244,9745.079,496.218,7.11,62.7956488,0.635027195
GHA,Ghana,Africa,33475870,194565.0591,21.1,108498.9728,900.2735043,64.07,0.611,3.385,1.948,4227.63,298.245,4.97,33957.04973,0.747770008
GIN,Guinea,Africa,13859349,114424.8353,19,24801.5913,270.966589,61.6,0.477,3.135,1.733,1998.926,336.717,2.42,2421.592075,0.572991453
GMB,Gambia,Africa,2705995,6540.96115,17.5,7791.635587,234.1165501,62.05,0.496,2.339,1.417,1561.767,331.43,1.91,178.8912199,0.386643357
GNB,Guinea-Bissau,Africa,2105580,7158.801088,19.4,5430.345765,105.996892,58.32,0.48,3.002,1.565,1548.675,382.474,2.42,81.99456099,0.439036519
GNQ,Equatorial Guinea,Africa,1674916,8136.814297,22.4,10608.56177,126.4560995,58.74,0.592,2.846,1.752,22604.873,202.812,7.78,15.37296037,0.4998446
GRC,Greece,Europe,10384972,4205460.488,45.3,1963078.358,17508.39596,82.24,0.888,20.396,14.524,24574.382,175.695,4.55,2795135.67,0.825621118
GTM,Guatemala,North America,17843914,909094.9596,22.9,569570.7094,11566.62937,74.3,0.663,4.694,3.016,7423.808,155.898,10.18,239900.4569,0.823449883
GUY,Guyana,South America,808727,21474.53613,26.3,36068.0676,705.3916084,69.91,0.682,5.305,2.837,7435.047,373.159,11.62,1933.026418,0.764662005
HKG,Hong Kong,Asia,7488863,3316262.414,44.8,1736110.767,23476.15728,84.86,0.949,16.303,10.158,56054.92,377.1504,8.33,2151176.704,0.9488885
HND,Honduras,North America,10432858,208457.2556,24.9,280609.2533,7076.839938,75.27,0.634,4.652,2.883,4541.795,240.208,7.21,78123.40326,0.723597514
HRV,Croatia,Europe,4030361,783986.885,44,625876.397,9570.911422,78.49,0.851,19.724,13.053,22669.797,253.782,5.59,462.1484071,0.829222999
HTI,Haiti,North America,11585003,5251.019425,24.3,20558.16861,527.957265,64,0.51,4.8,2.954,1653.173,430.548,6.65,2423738.58,0.695811966
HUN,Hungary,Europe,9967304,1247642.065,43.4,1101899.211,28196.10567,76.88,0.854,18.577,11.976,26777.561,278.296,7.55,451328.0995,0.853278943
IDN,Indonesia,Asia,275501344,29159356.67,29.3,3527780.792,93643.68531,71.72,0.718,5.319,3.053,11188.744,342.864,6.32,2956765.65,0.825120435
IND,India,Asia,1417173120,420934953.8,28.2,26939794.16,334500.0823,69.66,0.645,5.989,3.414,6426.674,282.28,10.39,60551390.57,0.823237578
IRL,Ireland,Europe,5023108,2187433.799,38.7,788389.136,5219.892774,82.3,0.955,13.928,8.678,67335.293,126.459,3.28,1288093.976,0.839425019
IRN,Iran,Asia,88550568,6539998.02,32.4,4316472.88,92254.20202,76.68,0.783,5.44,3.182,19082.62,270.308,9.59,2076985.179,0.826550117
IRQ,Iraq,Asia,44496124,331837.2813,20,1487836.819,17319.02331,70.6,0.674,3.186,1.957,15663.986,218.612,8.83,5325.807304,0.775695416
ISL,Iceland,Europe,372903,16699.26729,37.3,82519.01709,70.38228438,82.99,0.949,14.431,9.207,46482.958,117.992,5.31,6038.921523,0.758570319
ISR,Israel,Asia,9449000,3571864.324,30.6,2193558.984,7103.779332,82.97,0.919,11.733,7.359,33132.32,93.32,6.74,2355239.48,0.842082362
ITA,Italy,Europe,59037472,26807574.28,47.9,10326878.97,117737.2696,83.51,0.892,23.021,16.24,35220.084,113.151,4.78,18957234.23,0.866581197
JAM,Jamaica,North America,2827382,143319.7817,31.4,79115.63326,1771.241647,74.47,0.734,9.684,6.39,8193.571,206.537,11.28,6042.345765,0.73965035
JOR,Jordan,Asia,11285875,460596.0435,23.2,938780.2315,8708.386946,74.53,0.729,3.81,2.361,8337.49,208.257,11.75,8169.7669,0.645827506
JPN,Japan,Asia,123951696,49745570.35,48.2,8951690.515,24612.08159,84.63,0.919,27.049,18.493,39002.223,79.37,5.72,40693053.77,0.875477855
KAZ,Kazakhstan,Asia,19397998,2440143.034,30.6,817184.4211,11294.01943,73.6,0.825,6.991,4.625,24055.588,466.792,7.11,33353.77545,0.749487179
KEN,Kenya,Africa,54027484,639783.2828,20,205028.7576,3599.407925,66.7,0.601,2.686,1.528,2993.028,218.637,2.92,29048.16317,0.794654235
KGZ,Kyrgyzstan,Asia,6630621,554013.7166,26.3,45081.46429,524.7181677,71.45,0.697,4.489,2.882,3393.474,436.362,7.11,851683.8234,0.689541925
KHM,Cambodia,Asia,16767851,3126293.985,25.6,75206.13131,1652.544678,69.82,0.594,4.412,2.385,3645.07,270.892,4,760431.9852,0.623853924
LBN,Lebanon,Asia,5489744,405184.0054,31.1,659788.049,6626.465423,78.93,0.744,8.514,5.43,13367.565,266.591,12.71,55467.81041,0.825097125
LBR,Liberia,Africa,5302690,34748.45455,19.2,4718.134421,194.2968143,64.1,0.48,3.057,1.756,752.788,272.509,2.42,21.05594406,0.41012432
LKA,Sri Lanka,Asia,21832150,2336991.657,34.1,371730.8594,8831.65035,76.98,0.782,10.069,5.331,11669.077,197.093,10.68,546953.9487,0.777723388
LSO,Lesotho,Africa,2305826,12392.80497,22.2,18981.5066,426.7521368,54.33,0.527,4.506,2.647,2851.153,405.126,3.94,1150.511267,0.396526807
MAR,Morocco,Africa,37457976,2789021.65,29.6,746636.4872,10496.0575,76.68,0.686,6.769,4.209,7485.013,419.146,7.14,260789.2176,0.813970474
MDA,Moldova,Europe,3272993,141265.5237,37.6,326212.8011,7162.754468,71.9,0.75,10.864,6.955,5189.972,408.502,5.72,3405.501166,0.76993007
MDG,Madagascar,Africa,29611718,65193.86946,19.6,40944.91531,840.999223,67.04,0.528,2.929,1.686,1416.44,405.994,3.94,2637.464646,0.53978244
MEX,Mexico,North America,127504120,10804085.91,29.3,3846615.667,226732.0923,75.05,0.779,6.857,4.321,17336.469,152.783,13.06,938456.3088,0.811086113
MKD,North Macedonia,Europe,2093606,56823.20124,39.1,190404.3108,6010.478632,75.8,0.774,13.26,8.16,13111.214,322.688,10.08,4588.956488,0.775151515
MLI,Mali,Africa,22593598,66229.3512,16.4,18159.32168,481.2851593,59.31,0.434,2.519,1.486,2014.306,268.024,2.42,60350.8986,0.767715618
MNG,Mongolia,Asia,3398373,400365.5214,28.6,477786.8982,1116.968143,69.87,0.737,4.031,2.421,11840.846,460.043,4.82,66263.42113,0.664320124
MOZ,Mozambique,Africa,32969520,345012.5035,17.7,128861.0552,1312.504274,60.85,0.456,3.158,1.87,1136.103,329.942,3.3,15805.45221,0.705633256
MUS,Mauritius,Africa,1299478,41022.39627,37.4,113762.6643,468.5167055,74.99,0.804,10.945,5.884,20292.745,224.644,22.02,18609.67055,0.4298446
MWI,Malawi,Africa,20405318,122213.8197,18.1,51015.08936,1605.296037,64.26,0.483,2.979,1.783,1095.042,227.349,3.94,7022.819736,0.708966589
MYS,Malaysia,Asia,33938216,14398799.96,29.9,2335994.219,18902.4604,76.16,0.81,6.293,3.407,26808.164,260.942,16.74,7130640.327,0.834231366
NAM,Namibia,Africa,2567024,22686.40249,22,97834.55944,2326.893551,63.71,0.646,3.552,2.085,9541.808,243.811,3.94,3988.652681,0.581056721
NGA,Nigeria,Africa,218541216,767516.3652,18.1,172020.1142,2170.487179,54.69,0.539,2.751,1.447,5338.454,181.013,2.42,67056.554,0.791266511
NIC,Nicaragua,North America,6948395,322832.258,27.3,9384.5338,179.8515929,74.48,0.66,5.445,3.519,5321.444,137.016,11.47,11237.49417,0.739285159
NPL,Nepal,Asia,30547586,2581239.8,25,605183.9099,7485.049728,70.78,0.602,5.809,3.212,2442.804,260.797,7.26,481837.6581,0.762789433
PAK,Pakistan,Asia,235824864,19149633.36,23.5,990028.1274,20248.29138,67.27,0.557,4.495,2.78,5034.708,423.031,8.35,4651437.384,0.766985237
PAN,Panama,North America,4408582,177902.9588,29.7,533399.9448,5820.927739,78.51,0.815,7.918,5.03,22267.037,128.346,8.33,71248.61694,0.78965812
PER,Peru,South America,34049588,13688242.96,29.1,2373418.435,153808.3178,76.74,0.777,7.151,4.455,12236.706,85.755,5.95,9986639.525,0.857583528
PHL,Philippines,Asia,115559008,5544776.873,25.2,2171936.445,35468.87801,71.23,0.718,4.803,2.661,7599.188,370.437,7.07,876896.4779,0.831717172
POL,Poland,Europe,39857144,11604044.79,41.8,3463329.727,70501.43279,78.73,0.88,16.763,10.202,27216.445,227.331,5.91,5726304.7,0.83017094
PRY,Paraguay,South America,6780745,194734.9845,26.5,403050.2984,11476.60062,74.25,0.728,6.378,3.833,8827.01,199.128,8.27,65850.23232,0.656340326
PSE,Palestine,Asia,5250076,41277.81663,20.4,395867.9984,3529.449883,74.05,0.708,3.043,1.726,4449.898,265.91,10.59,4105.150738,0.666930847
ROU,Romania,Europe,19659270,2078891.491,43,1694996.826,39144.10334,76.05,0.828,17.85,11.69,23313.199,370.946,9.74,1899849.384,0.755780886
RUS,Russia,Europe,144713312,16642832.64,39.6,10553152.54,213764.8376,72.58,0.824,14.178,9.393,24765.954,431.297,6.18,2374811.73,0.82996892
RWA,Rwanda,Africa,13776702,187662.0932,20.3,73211.65579,837.5897436,69.02,0.543,2.974,1.642,1854.211,191.375,4.28,62685.32634,0.722944833
SEN,Senegal,Africa,17316452,34362.04351,18.7,54937.83683,1267.425796,67.94,0.512,3.008,1.796,2470.58,241.219,2.42,6182.268842,0.768787879
SLV,El Salvador,North America,6336393,329361.4483,27.6,107612.4266,2658.804196,73.32,0.673,8.273,5.417,7292.458,167.295,8.87,54692.07615,0.483682984
SOM,Somalia,Africa,17597508,80655.10179,16.8,16518.67055,828.8174048,57.4,0.677,2.731,1.496,1143.8504,365.769,6.05,4847.774522,0.443815074
SWZ,Eswatini,Africa,1201680,12712.51904,21.5,40590.00311,867.6689977,60.19,0.611,3.163,1.845,7738.975,333.436,3.94,2613.226884,0.681484071
SYC,Seychelles,Africa,107135,4017.578089,36.2,23865.61849,90.26495726,73.4,0.796,8.606,5.586,26382.287,242.648,10.55,597.9013209,0.515858586
TGO,Togo,Africa,8848700,29261.51593,19.4,21475.61228,172.9005439,61.04,0.515,2.839,1.525,1429.813,280.033,6.15,4017.979798,0.774599845
THA,Thailand,Asia,71697024,13771056.75,40.1,2088419.793,15475.29992,77.15,0.777,11.373,6.89,16277.671,109.861,7.04,5573652.458,0.785454545
TJK,Tajikistan,Asia,9952789,90556.43823,23.3,13591.82284,96.9044289,71.1,0.668,3.466,2.155,2896.913,427.698,7.11,22050.58275,0.289160839
TKM,Turkmenistan,Asia,6430777,4893.498057,26.9,1909721.844,25823.77301,68.19,0.715,4.277,2.541,16389.023,536.783,7.11,2802.138306,0.729487024
TTO,Trinidad and Tobago,North America,1531043,178747.7047,36.2,83287.15851,2035.707848,73.51,0.796,10.014,5.819,28763.071,228.467,10.97,24815.34499,0.715944056
TUN,Tunisia,Africa,12356116,1000091.747,32.7,612258.014,17292.22922,76.7,0.74,8.001,5.075,10849.297,318.991,8.52,111365.8423,0.758438228
TUR,Turkey,Asia,85341248,18192800.65,31.6,8566356.003,58570.29681,77.69,0.82,8.153,5.061,25129.341,171.285,12.13,9572403.159,0.674553225
TZA,Tanzania,Africa,65497752,337414.4048,17.7,20026.06371,450.1608392,65.46,0.529,3.108,1.874,2683.304,217.288,5.75,5572.154623,0.124428904
UGA,Uganda,Africa,47249588,238274.4911,16.4,97156.63714,2061.141414,63.37,0.544,2.168,1.308,1697.707,213.333,2.5,4921.273504,0.610714841
UKR,Ukraine,Europe,39701744,1460524.347,41.4,2860292.294,60216.06838,72.06,0.779,16.462,11.133,7894.393,539.849,7.11,13804.51748,0.766534577
URY,Uruguay,South America,3422796,1527336.394,35.6,486814.5807,4329.868789,77.91,0.817,14.655,10.361,20551.409,160.708,6.93,1138086.118,0.802220497
UZB,Uzbekistan,Asia,34627648,435279.1873,28.2,82620.65579,517.5353535,71.72,0.72,4.469,2.873,6253.104,724.417,7.57,188735.3341,0.813216783
VEN,Venezuela,South America,28301700,100266.5532,29,317988.2813,3458.666667,72.06,0.711,6.614,3.915,16745.022,204.85,6.47,1488.708625,0.828158508
VNM,Vietnam,Asia,98186856,8165237.625,32.6,4476117.276,20674.53691,75.4,0.704,7.15,4.718,6171.884,245.465,6,3650682.775,0.744374514
YEM,Yemen,Asia,33696612,13193.77156,20.3,7275.853924,1385.856255,66.12,0.47,2.922,1.583,1479.147,495.003,5.35,586.3939394,0.524296814
ZAF,South Africa,Africa,59893884,5303941.327,27.3,2422738.518,65338.48563,64.13,0.709,5.344,3.053,12294.876,200.38,5.52,741229.864,0.81029526
ZMB,Zambia,Africa,20017670,310954.1064,17.7,185435.0179,2436.299922,63.89,0.584,2.48,1.542,3689.251,234.499,3.94,66.15928516,0.705967366
ZWE,Zimbabwe,Africa,16320539,999946.6605,19.6,134690.2852,3238.639472,61.49,0.571,2.822,1.882,1899.775,307.846,1.82,98477.48174,0.721670552
